map_name,source,restricted_radius,opening_limit,recon_uses_mission_three,player1_objective1_x,player1_objective1_y,player1_objective2_x,player1_objective2_y,player2_objective1_x,player2_objective1_y,player2_objective2_x,player2_objective2_y,player1_unit_value_profile,player2_unit_value_profile,opening_production_limits,disadvantage_production_limits,advantage_production_limits,draw_production_limits
map_11,rom,3,2,FALSE,22,7,11,21,15,15,15,15,3,3,6;0;2;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;1,8;0;3;6;0;1;4;0;3;0;0;1;0;2;0;4;0;0;1;1;5;0;0;1,11;1;1;4;0;1;3;0;3;1;0;1;0;1;3;4;0;1;1;0;3;0;0;1,12;4;1;1;1;2;1;0;2;2;1;1;0;1;3;2;0;1;1;0;2;1;0;1
map_12,rom,3,3,FALSE,3,11,8,2,8,2,3,11,0,0,9;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,13;4;0;2;4;1;3;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0,13;2;0;1;4;1;2;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0,7;6;0;0;4;0;1;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0
map_13,rom,2,2,FALSE,9,3,9,11,2,3,2,11,0,0,9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,18;5;0;1;5;1;4;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0,21;3;0;0;4;1;3;1;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0,15;9;0;0;6;1;1;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0
map_14,rom,3,3,FALSE,20,4,20,13,11,4,11,13,1,1,14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0,16;0;0;3;0;1;2;0;2;1;2;1;0;2;2;5;0;2;1;0;0;0;0;0,17;0;0;2;4;1;1;0;2;2;0;1;0;1;3;3;0;2;1;0;0;0;0;0,8;6;0;1;2;1;1;0;1;3;0;2;0;1;1;1;0;2;2;0;0;0;0;0
map_15,rom,2,2,FALSE,6,10,7,8,4,2,3,4,0,0,3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9;0;0;1;2;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0,6;2;0;1;1;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0,4;5;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
map_16,rom,3,3,FALSE,23,6,18,22,10,22,5,6,1,1,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0,14;0;0;5;0;1;3;0;3;0;1;1;0;2;2;5;0;1;2;0;0;0;0;0,20;0;0;3;0;1;2;0;2;0;0;1;0;1;2;3;0;2;3;0;0;0;0;0,11;6;0;2;3;1;1;0;1;4;1;1;0;1;1;1;0;3;3;0;0;0;0;0
map_17,rom,3,3,FALSE,11,9,14,11,3,10,6,13,0,0,10;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,17;5;0;2;4;1;4;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0,19;4;0;1;4;1;4;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0,15;9;0;0;6;1;1;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0
map_18,rom,3,3,FALSE,7,14,17,5,4,12,13,4,1,1,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0,12;3;0;2;0;0;2;0;2;2;0;2;0;2;2;4;1;2;4;0;0;0;0;0,19;0;0;1;0;0;0;0;1;2;0;2;0;1;3;2;0;2;7;0;0;0;0;0,9;9;0;1;2;0;2;0;1;4;2;2;0;1;1;1;0;2;3;0;0;0;0;0
map_19,rom,3,6,FALSE,3,23,23,20,4,5,22,7,2,2,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0,15;4;0;3;4;1;3;0;0;0;1;1;0;0;0;0;0;0;0;0;4;0;3;1,19;2;0;2;3;1;3;0;0;0;1;2;0;0;0;0;0;0;0;0;2;0;4;1,18;6;0;1;4;1;2;2;0;0;2;1;0;0;0;0;0;0;0;0;1;0;1;1
map_20,rom,3,4,TRUE,27,5,9,19,3,19,22,6,0,0,18;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,24;0;0;5;1;2;4;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0,23;0;0;4;3;1;5;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0,16;8;0;1;4;2;2;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0
map_21,rom,3,3,FALSE,5,10,5,10,8,16,8,16,1,1,11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0,11;3;0;4;0;1;3;0;2;2;0;2;0;1;2;3;0;4;2;0;0;0;0;0,15;0;0;2;3;1;2;0;2;2;2;2;0;0;2;2;0;3;2;0;0;0;0;0,11;8;0;1;3;0;2;0;1;3;2;4;0;0;0;0;0;3;2;0;0;0;0;0
map_22,rom,2,3,FALSE,7,5,14,6,5,15,13,16,0,0,5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,17;7;0;3;5;1;3;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0,20;5;0;1;5;1;3;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0,12;9;0;1;4;1;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
map_23,rom,3,3,FALSE,13,12,10,8,13,12,10,14,1,1,10;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0,10;4;0;3;1;1;2;0;2;2;0;4;0;1;2;3;0;3;2;0;0;0;0;0,15;0;0;1;3;1;2;0;2;3;2;2;0;0;2;2;0;3;2;0;0;0;0;0,10;5;0;1;3;0;2;0;1;5;2;4;0;0;0;0;0;4;2;0;0;0;0;0
map_24,rom,3,3,FALSE,16,11,7,19,16,11,7,19,1,1,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0,16;0;0;5;0;1;4;0;3;0;0;2;0;1;2;3;0;1;2;0;0;0;0;0,18;2;0;1;3;1;2;0;2;1;1;2;0;1;2;2;0;1;1;0;0;0;0;0,11;8;0;1;3;0;2;0;1;3;2;4;0;0;0;0;0;3;2;0;0;0;0;0
map_25,rom,3,3,FALSE,24,5,24,14,8,5,8,14,0,0,17;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,16;6;0;6;2;1;4;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0,21;0;0;5;2;1;5;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0,18;8;0;2;4;2;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
map_26,rom,3,3,FALSE,19,8,19,16,12,19,14,5,1,1,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0,13;0;0;5;0;1;3;0;3;1;1;2;0;2;2;5;0;1;1;0;0;0;0;0,18;0;0;3;0;1;3;0;3;1;1;1;0;1;3;3;0;1;1;0;0;0;0;0,10;6;0;1;4;1;2;0;1;4;1;2;0;1;1;2;0;2;2;0;0;0;0;0
map_27,rom,2,3,FALSE,7,13,11,9,7,5,3,9,1,1,10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0,14;4;0;2;2;1;3;0;2;2;2;1;0;0;2;2;0;2;1;0;0;0;0;0,17;0;0;1;3;1;3;0;2;2;2;2;0;0;2;1;0;3;1;0;0;0;0;0,7;5;0;0;2;1;1;1;1;4;1;2;0;0;1;1;0;4;2;0;0;0;0;0
map_28,rom,3,2,FALSE,23,13,11,6,1,1,1,1,1,1,6;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0,12;0;5;6;0;2;4;0;3;0;1;1;0;1;2;3;0;0;0;0;0;0;0;0,16;2;1;3;0;1;3;0;2;1;1;1;0;1;3;3;0;2;0;0;0;0;0;0,11;6;1;3;2;2;2;0;1;3;1;1;0;1;2;1;0;2;1;0;0;0;0;0
map_29,rom,2,5,FALSE,3,10,5,9,8,5,7,4,0,0,8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;5;0;0;0;3;5;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0,7;5;0;0;0;3;4;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0,5;7;0;0;0;2;4;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
map_30,rom,4,4,TRUE,13,18,7,18,13,12,7,9,2,2,16;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0,17;0;0;5;2;1;6;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;1,19;0;0;3;3;1;5;0;0;0;2;2;0;0;0;0;0;0;0;0;3;0;0;2,10;7;0;2;4;1;2;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;1;1
map_31,rom,3,3,FALSE,7,11,24,11,7,19,24,19,1,1,20;0;0;2;0;0;3;0;2;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0,18;0;0;4;0;1;3;0;3;0;1;1;0;2;2;4;0;0;1;0;0;0;0;0,20;0;0;4;0;1;3;0;2;0;1;1;0;1;3;3;0;1;0;0;0;0;0;0,11;6;0;1;3;1;2;0;2;3;2;1;0;1;2;1;0;2;2;0;0;0;0;0
map_32,rom,2,3,FALSE,9,7,5,10,3,7,8,4,0,0,10;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0,16;2;0;3;1;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0,17;0;0;1;3;1;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0,7;7;0;1;2;1;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
map_33,rom,3,4,FALSE,15,9,3,19,1,1,1,1,2,2,10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1,15;5;0;3;0;1;3;0;0;0;1;1;0;0;0;0;0;0;0;0;6;0;3;2,17;3;0;4;0;1;3;0;0;0;0;2;0;0;0;0;0;0;0;0;5;0;3;2,6;11;0;2;5;2;2;3;0;0;2;3;0;0;0;0;0;0;0;0;2;0;1;1
map_34,rom,4,3,FALSE,22,19,16,6,12,19,16,6,3,3,11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0,12;4;0;2;0;1;1;0;2;0;0;1;0;1;2;4;0;1;4;0;3;0;1;1,14;4;0;0;1;1;1;0;2;1;0;1;0;1;2;2;0;1;5;0;2;0;1;1,10;6;0;1;2;1;2;0;2;3;1;1;0;1;1;2;0;2;2;0;1;1;0;1
map_35,rom,3,4,FALSE,19,12,20,16,7,12,8,16,0,0,25;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,20;2;0;6;0;1;6;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0,23;0;0;1;3;1;7;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0,15;9;0;2;5;1;2;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0
map_36,rom,3,4,FALSE,14,4,23,14,10,22,3,13,1,1,20;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0,14;2;0;4;0;1;4;0;2;0;1;2;0;2;2;4;0;1;1;0;0;0;0;0,19;0;0;1;2;1;4;0;2;1;0;1;0;1;3;2;0;2;1;0;0;0;0;0,12;7;0;1;3;1;1;0;1;4;1;2;0;1;2;1;0;3;0;0;0;0;0;0
map_37,rom,2,3,FALSE,12,6,12,6,4,6,4,6,2,2,4;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,11;3;0;1;5;2;2;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;2;1,11;2;0;0;3;2;2;0;0;0;1;4;0;0;0;0;0;0;0;0;1;0;1;1,6;8;0;1;6;1;2;0;0;0;1;4;0;0;0;0;0;0;0;0;1;0;0;0
map_38,rom,3,3,FALSE,14,15,14,15,9,13,9,13,3,3,17;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;4;0;0;2;0;0;2,14;0;0;2;0;1;2;0;2;0;0;1;0;2;0;5;0;2;2;0;4;0;2;1,16;0;0;1;0;1;1;0;2;2;0;2;0;0;2;4;0;2;2;0;3;0;1;1,7;5;0;1;2;2;2;0;1;4;2;2;0;1;1;4;0;2;0;0;2;1;0;1
map_39,rom,3,4,FALSE,6,25,16,25,6,6,16,6,0,0,19;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,20;4;0;5;0;1;6;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0,21;2;0;2;4;1;5;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0,18;7;0;1;5;1;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0
map_40,rom,3,3,FALSE,5,24,16,15,5,24,18,14,1,1,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0,13;4;0;3;0;1;3;0;3;1;1;2;0;2;0;4;0;2;1;0;0;0;0;0,18;0;0;1;3;1;2;0;2;1;1;1;0;0;3;3;0;2;2;0;0;0;0;0,11;7;0;1;3;1;1;0;1;4;1;2;0;1;1;1;0;3;2;0;0;0;0;0
map_41,rom,3,3,FALSE,2,16,13,5,2,16,13,5,2,2,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2,13;4;0;3;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;4;0;4;2,12;2;0;0;2;1;1;0;0;0;1;2;0;0;0;0;0;0;0;0;4;0;4;2,6;7;0;1;2;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1
map_42,rom,2,2,FALSE,3,4,9,4,3,12,9,12,1,1,8;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19;5;0;1;2;1;2;0;1;1;2;1;0;0;1;2;0;2;0;0;0;0;0;0,22;3;0;0;2;1;2;0;1;1;2;2;0;0;1;1;0;2;0;0;0;0;0;0,14;8;0;0;3;1;2;0;1;2;2;2;0;0;1;1;0;2;1;0;0;0;0;0
map_43,rom,3,3,TRUE,7,17,14,17,3,7,18,7,3,3,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0,17;0;0;2;0;1;4;0;2;0;1;2;0;2;2;3;0;1;0;0;2;0;0;1,18;0;0;1;2;2;2;0;2;0;2;1;0;1;3;2;0;1;1;0;1;0;0;1,9;6;0;1;3;1;2;0;1;4;1;2;0;1;1;1;0;2;2;0;1;1;0;1
map_44,rom,3,3,FALSE,9,5,18,9,6,10,14,16,0,0,20;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,21;3;0;4;0;1;4;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0,22;2;0;1;4;1;3;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0,16;8;0;1;4;1;2;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0
map_45,rom,3,3,FALSE,26,6,26,12,5,6,5,12,2,2,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0,16;4;0;4;0;1;4;0;0;0;1;1;0;0;0;0;0;0;0;0;6;0;2;1,18;3;0;3;0;2;4;0;0;0;2;1;0;0;0;0;0;0;0;0;4;0;2;1,14;8;0;2;4;2;1;0;0;0;1;2;0;0;0;0;0;0;0;0;2;0;1;1
map_46,rom,3,3,FALSE,23,13,14,21,12,6,5,13,1,1,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0,13;6;0;1;0;1;0;0;2;1;0;1;0;1;3;3;1;2;5;0;0;0;0;0,15;4;0;1;0;1;0;0;2;1;0;1;0;1;4;2;1;2;5;0;0;0;0;0,13;8;0;1;2;1;1;0;1;3;0;1;0;0;2;1;0;3;3;0;0;0;0;0
map_47,rom,3,3,TRUE,17,14,17,3,2,15,14,25,0,0,8;0;0;5;0;0;6;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0,14;5;0;7;0;3;7;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0,16;3;0;6;1;3;7;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0,15;9;0;1;4;2;4;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
map_48,rom,3,4,FALSE,6,9,16,19,13,4,17,13,2,2,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0,19;3;0;3;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;5;0;4;1,18;8;0;2;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;3;0;3;1,14;8;0;3;2;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;1
map_49,rom,3,3,FALSE,16,19,9,25,9,12,15,6,3,3,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0,14;2;0;3;0;1;3;0;1;0;1;1;0;1;4;3;0;1;1;0;2;0;1;1,17;2;0;0;3;1;2;0;2;1;1;2;0;0;3;2;0;1;1;0;1;0;0;1,12;7;0;1;3;2;1;0;1;2;1;2;0;0;1;1;0;3;1;0;1;1;0;0
map_50,rom,3,4,TRUE,19,6,20,21,7,22,7,6,2,2,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0,17;3;0;3;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;6;0;3;3,17;5;0;3;0;2;3;0;0;0;1;2;0;0;0;0;0;0;0;0;3;0;3;1,15;6;0;2;4;1;3;2;0;0;2;2;0;0;0;0;0;0;0;0;1;0;1;1
map_51,rom,3,3,FALSE,14,15,14,15,9,13,9,13,3,3,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;1;0;0;0,15;2;0;2;0;1;2;0;1;0;0;1;0;1;2;3;0;2;2;0;3;0;2;1,17;2;0;1;2;1;2;0;1;2;0;1;0;0;2;2;0;2;1;0;2;0;1;1,14;5;0;1;3;1;1;0;1;2;1;2;0;0;1;1;0;2;1;0;1;1;1;1
map_52,rom,3,3,FALSE,12,3,17,5,6,11,13,13,0,1,6;0;0;3;0;3;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0,14;2;0;8;0;3;6;0;0;0;2;2;0;0;0;3;0;0;0;0;0;0;0;0,16;3;0;6;1;3;5;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0,14;9;0;2;4;2;2;1;0;0;1;2;0;0;0;1;0;2;0;0;0;0;0;0
map_53,rom,3,3,FALSE,17,4,19,22,15,15,15,15,3,3,6;0;4;6;0;3;2;0;4;0;1;0;0;0;0;0;0;0;0;1;5;0;2;0,7;0;5;4;0;2;2;0;3;0;0;0;0;2;0;5;0;0;1;1;5;0;2;1,10;1;2;3;0;2;2;0;3;0;0;1;0;2;3;3;0;0;1;0;4;0;2;1,12;3;1;2;1;2;1;0;2;2;1;0;0;1;3;2;0;1;1;0;2;1;1;1
